<<<<<<< HEAD
id,name,age,telephone,email,country,occupation,company
1,Yeji,44,+55 64 94351-6983,yeji86@example.com,Japan,Developer,JYP Entertainment
2,Kai,29,+55 38 92507-1136,kai20@example.com,Mexico,Teacher,Kakao M
3,Han,25,+82 10-0000-1005,han@jypentertainment.com,South Korea,Singer,JYP Entertainment
4,Amber,20,+55 35 96493-6673,amber59@example.com,Japan,Doctor,Kakao M
5,Lia,50,+55 43 99442-5764,lia31@example.com,South Korea,Student,SM Entertainment
6,Jisung,47,+55 39 97800-7430,jisung38@example.com,Brazil,Student,Cube Entertainment
7,Eric Nam,43,+55 48 97492-4326,ericnam78@example.com,Brazil,Singer,CJ ENM
8,Jinyoung,50,+55 12 95378-6943,jinyoung74@example.com,Japan,Engineer,YG Entertainment
9,Maria Clara,33,+55 18 96119-3575,mariaclara39@example.com,Mexico,Teacher,Starship Entertainment
10,Jhonny,19,+55 87 95843-3492,alice84@example.com,Japan,Engineer,YG Entertainment
11,Jiwoo,20,+82 10-0000-1019,jiwoo@jypentertainment.com,South Korea,Singer,JYP Entertainment
12,Luna,43,+55 62 99212-9802,luna98@example.com,Brazil,Designer,JYP Entertainment
13,Hyunjin,25,+82 10-0000-1004,hyunjin@jypentertainment.com,South Korea,Singer,JYP Entertainment
14,Suho,21,+55 25 96240-1681,suho58@example.com,USA,Actor,JYP Entertainment
15,Onew,46,+55 48 91085-9409,onew81@example.com,India,Dancer,Starship Entertainment
16,Pedro Silva,18,+55 85 91673-2713,pedrosilva48@example.com,Mexico,Teacher,BigHit Music
17,Amber,44,+55 99 99595-5970,amber2@example.com,Thailand,Designer,SM Entertainment
18,Jun Han,23,+82 10-0000-1034,junhan@jypentertainment.com,South Korea,Singer,JYP Entertainment
19,Jay Park,48,+55 78 99049-1152,jaypark63@example.com,Thailand,Engineer,Cube Entertainment
20,Eric Nam,39,+55 50 90563-5801,ericnam23@example.com,Thailand,Student,Cube Entertainment
21,Sophia Rossi,27,+55 59 99278-7091,sophiarossi28@example.com,China,Doctor,Sony Music
22,Kai,39,+55 42 90281-1642,kai62@example.com,South Korea,Teacher,Sony Music
23,Fatima Zahra,38,+55 25 98555-3988,fatimazahra94@example.com,Japan,Actor,SM Entertainment
24,Eric Nam,37,+55 87 97706-7743,ericnam13@example.com,Mexico,Developer,Kakao M
25,Sungho,22,+82 10-0000-1010,sungho@kozentertainment.com,South Korea,Singer,KOZ Entertainment
26,Amara Singh,38,+55 10 94374-4574,amarasingh34@example.com,USA,Actor,Cube Entertainment
27,O.de,23,+82 10-0000-1033,o.de@jypentertainment.com,South Korea,Singer,JYP Entertainment
28,Sullyoon,21,+82 10-0000-1017,sullyoon@jypentertainment.com,South Korea,Singer,JYP Entertainment
29,Bang Chan,28,+82 10-0000-1001,bangchan@jypentertainment.com,South Korea,Singer,JYP Entertainment
30,Luna,23,+55 51 95401-3251,luna23@example.com,Japan,Dancer,Kakao M
31,Sophia Rossi,34,+55 17 96053-1529,sophiarossi6@example.com,France,Student,YG Entertainment
32,Lia,18,+55 24 94923-7674,lia97@example.com,Japan,Doctor,JYP Entertainment
33,Victor Hugo,43,+55 75 91307-7623,victorhugo73@example.com,France,Developer,JYP Entertainment
34,Lucas Almeida,21,+55 34 97965-2676,lucasalmeida30@example.com,China,Singer,SM Entertainment
35,Krystal,41,+55 86 90415-8640,krystal60@example.com,China,Student,YG Entertainment
36,Leehan,21,+82 10-0000-1013,leehan@kozentertainment.com,South Korea,Singer,KOZ Entertainment
37,Victor Hugo,48,+55 52 97750-6617,victorhugo87@example.com,Thailand,Student,Sony Music
38,Baekhyun,28,+55 98 93609-3932,baekhyun9@example.com,South Korea,Dancer,Kakao M
39,Seungmin,25,+82 10-0000-1007,seungmin@jypentertainment.com,South Korea,Singer,JYP Entertainment
40,Jaehyun,22,+82 10-0000-1009,jaehyun@kozentertainment.com,South Korea,Singer,KOZ Entertainment
41,Eric Nam,29,+55 50 99178-2867,ericnam97@example.com,France,Developer,YG Entertainment
42,Chungha,42,+55 95 95781-4145,chungha15@example.com,India,Designer,Cube Entertainment
43,Luna,28,+55 46 98482-8711,luna5@example.com,Mexico,Doctor,Sony Music
44,Carlos Mendes,40,+55 19 94489-9193,carlosmendes11@example.com,Brazil,Student,YG Entertainment
45,Jaehyun,44,+55 23 91739-6413,roses@example.com,Thailand,Actor,CJ ENM
46,Eric Nam,47,+55 23 91920-1801,ericnam57@example.com,China,Developer,Sony Music
47,Youngjae,22,+55 32 99959-9828,youngjae74@example.com,Brazil,Actor,CJ ENM
